Категория;Подкатегория;Имя RU;Имя EN;Имя TW;Имя CN;Имя KR;Имя JP;Имя PT;Имя TH;Имя FR;Имя DE;Имя SP
Постоянные;Utility;Машина картоходца зелёного вечного дерева;Verdant Evertree Map Device;地圖裝置：翠綠長青樹;装饰物：青翠永恒之树地图装置;신록의 상록수 지도 장치;新緑の永遠なる大樹のマップデバイス;Dispositivo de Mapas: Árvore Eterna Verdejante;เครื่องเปิดแผนที่ต้นชั่วกาล เขียวชอุ่ม;Dispositif cartographique de l'Impérissarbre verdoyant;'Grünender Immerbaum'-Kartenapparat;Artefacto de mapas de Árbol eterno verde
Постоянные;Utility;Машина картоходца вечного дерева кровавой коры;Bloodbark Evertree Map Device;地圖裝置：血皮長青樹;装饰物：猩红永恒之树地图装置;피껍질 상록수 지도 장치;黒き樹皮の永遠なる大樹のマップデバイス;Dispositivo de Mapas: Árvore Eterna Sangrenta;เครื่องเปิดแผนที่ต้นชั่วกาล เปลือกโลหิต;Dispositif cartographique de l'Impérissarbre écorce de sang;Blutrinde-Immerbaum-Kartenapparat;Artefacto de mapas de Árbol eterno de corteza sangrienta
Постоянные;Utility;Машина картоходца вечного дерева ночного лотоса;Night Lotus Evertree Map Device;地圖裝置：夜蓮長青樹;装饰物：黑莲永恒之树地图装置;밤의 연꽃 상록수 지도 장치;夜の睡蓮の永遠なる大樹のマップデバイス;Dispositivo de Mapas: Árvore Eterna da Lotus Noturna;เครื่องเปิดแผนที่ต้นชั่วกาล บัวราตรี;Dispositif cartographique de l'Impérissarbre du lotus nocturne;Nachtlotus-Immerbaum-Kartenapparat;Artefacto de mapas de Árbol eterno de loto nocturno
Постоянные;Utility;Машина картоходца Осквернителя;The Defiler Map Device;地圖裝置：玷汙者;地图装置：污浊之灵;모독자 지도 장치;冒涜者のマップデバイス;Dispositivo de Mapas: O Profanador;เครื่องเปิดแผนที่ผู้เสื่อมทราม;Dispositif cartographique du Profanateur;'Der Schänder'-Kartenapparat;Artefacto de mapas del Profanador
Постоянные;Utility;Машина картоходца - Дерево душ;Tree of Souls Map Device;裝飾物：攝魂之樹地圖裝置;地图装置：灵魂之树;영혼의 나무 지도 장치;魂の木のマップデバイス;Dispositivo de Mapas: Árvore das Almas;เครื่องเปิดแผนที่ต้นตรึงวิญญาณ;Dispositif cartographique : Arbre des âmes;'Baum der Seelen'-Kartenapparat;Artefacto de mapas de Árbol de almas
Постоянные;Utility;Машина картоходца джинна-убийцы;Assassin Djinn's Map Device;地圖裝置：刺客巨靈;地图装置：刺客巨灵;암살자 진의 지도 장치;アサシンのジンのマップデバイス;Dispositivo de Mapas do Jinn Assassino;เครื่องเปิดแผนที่จินน์มือสังหาร;Dispositif cartographique du Djinn assassin;Kartenapparat des Assassinen-Djinns;Artefacto de mapas del Genio asesino
Постоянные;Utility;Машина картоходца водяного джинна;Water Djinn's Map Device;地圖裝置：水之巨靈;地图装置：流水巨灵;물 진의 지도 장치;水のジンのマップデバイス;Dispositivo de Mapas do Jinn das Águas;เครื่องเปิดแผนที่จินน์วารี;Dispositif cartographique du Djinn de l'eau;Kartenapparat des Wasser-Djinns;Artefacto de mapas del Genio del agua
Постоянные;Utility;Машина картоходца джинна времени;Time Djinn's Map Device;地圖裝置：時空巨靈;地图装置：时光巨灵;시간 진의 지도 장치;時のジンのマップデバイス;Dispositivo de Mapas do Jinn do Tempo;เครื่องเปิดแผนที่จินน์กาลเวลา;Dispositif cartographique du Djinn du temps;Kartenapparat des Zeit-Djinns;Artefacto de mapas del Genio del tiempo
Постоянные;Utility;Рекомбинатор;Recombinator;重組裝置;重组器;재조합기;リコンビネーター;Recombinador;เครื่องผสมไอเทม;Recombinateur;Rekombinator;Recombinador
Постоянные;Utility;Разбрызгивающая Машина картоходца;Pulveriser Map Device;地圖裝置：粉碎機;地图装置：粉碎者;분쇄기 지도 장치;粉砕機のマップデバイス;Dispositivo de Mapas Pulverizador;เครื่องเปิดแผนที่เครื่องบดเลือด;Dispositif cartographique : Pulvérisateur;Pulverisierer-Kartengerät;Artefacto de mapas de Pulverizador
Постоянные;Utility;Машина картоходца Запретных архивов;Sacred Archives Map Device;神聖檔案館地圖裝置;地图装置：圣洁档案馆;성스러운 서고 지도 장치;神聖なアーカイブマップデバイス;Dispositivo de Mapas: Cripta Santificada;เครื่องเปิดแผนที่หอจดหมายเหตุศักดิ์สิทธิ์;Dispositif cartographique : Archives sacrées;'Heilige Archive'-Kartenapparat;Artefacto de mapas de Archivos sagrados
Постоянные;Utility;Машина картоходца Главного кузнеца;The Forgemaster's Map Device;地圖裝置：冶煉師範;地图装置：锻造大师;제련 장인의 지도 장치;フォージマスターのマップデバイス;Dispositivo de Mapas Mestre da Forja;เครื่องเปิดแผนที่ผู้คุมโรงหลอม;Dispositif cartographique du Maître de la forge;Schmiedemeister-Kartenapparat;Artefacto de mapas del Maestro de la forja
Постоянные;Utility;Машина картоходца путевых врат с фонтаном;Fountain Waygate Map Device;地圖裝置：噴泉廳廊;地图装置：喷泉大门;분수 경로관문 지도 장치;噴水のウェイゲートマップデバイス;Dispositivo de Mapas da Passagem da Fonte;เครื่องเปิดแผนที่โถงข้ามทางน้ำพุ;Dispositif cartographique : Passerelle de fontaine;Fontänenpforte-Kartenapparat;Artefacto de mapas de pasadizo de fuentes
Постоянные;Utility;Гардероб;Wardrobe Decoration;裝飾物：衣櫃;衣橱装饰;옷장 장식물;ワードローブ装飾品;Decoração do Guarda-roupa;ของตกแต่ง ตู้เสื้อผ้า;Décoration Garde-robe;Garderobe;Decoración de guardarropas
Постоянные;Utility;Тайник моллюска;Clam Stash;蚌殼倉庫;蛤蜊仓库;조개 보관함;貝のスタッシュ;Baú Marisco;คลังเก็บของหอยมุก;Réserve Palourde;Muschel-Truhe;Alijo de almeja
Постоянные;Utility;Хранилище гильдии моллюска;Clam Guild Stash;蚌殼公會倉庫;蛤蜊公会仓库;조개 길드 보관함;貝のギルドスタッシュ;Baú de Guilda Marisco;คลังเก็บของกิลด์หอยมุก;Réserve de Guilde Palourde;Muschel-Gildentruhe;Alijo de hermandad de almeja
Постоянные;Utility;Тайник - ящик Предтеч;Precursor Receptacle Stash;先行者儲藏箱倉庫;先驱容器仓库;선도자 삽입구 보관함;先人の器スタッシュ;Baú Receptáculo Precursor;คลังเก็บของภาชนะกลุ่มชนก่อนกาล;Réserve Réceptacle des Prédécesseurs;'Wegbereiter-Behältnis'-Truhe;Alijo de Receptáculo de los precursores
Постоянные;Utility;Хранилище гильдии - ящик Предтеч;Precursor Receptacle Guild Stash;先行者儲藏箱公會倉庫;先驱容器公会仓库;선도자 삽입구 길드 보관함;先人の器ギルドスタッシュ;Baú de Guilda Receptáculo Precursor;คลังเก็บของกิลด์ภาชนะกลุ่มชนก่อนกาล;Réserve de Guilde Réceptacle des Prédécesseurs;'Wegbereiter-Behältnis'-Gildentruhe;Alijo de hermandad de Receptáculo de los precursores
Постоянные;Utility;Тайник Кракена;Kraken Stash Skin;裝飾物：海怪倉庫;仓库外观：北海巨兽;크라켄의 보관함 스킨;クラーケンスタッシュスキン;Visual de Baú do Kraken;คลังเก็บของคราเคน;Réserve du Kraken;Krakentruhe;Aspecto de alijo de kraken
Постоянные;Utility;Хранилище гильдии Кракена;Kraken Guild Stash Skin;裝飾物：海怪公會倉庫;仓库外观：北海巨兽（公会）;크라켄의 길드 보관함 스킨;クラーケンギルドスタッシュスキン;Visual de Baú de Guilda do Kraken;คลังเก็บของกิลด์คราเคน;Réserve de Guilde du Kraken;Kraken-GIldentruhe;Aspecto de alijo de hermandad de kraken
Постоянные;Utility;Тайник царской казны Атзири;Atziri's Royal Cache Stash;裝飾物：阿茲里皇家寶匣倉庫;仓库：阿兹里的皇家秘藏;앗지리의 왕실 은닉함 보관함;アッツィリの王家の財宝スタッシュ;Pacote de Baú Estoque Real de Atziri;คลังเก็บของหีบราชสมบัติอัถสิริ;Réserve Cache royale d'Atziri;'Atziris Königlicher Schatz'-Truhe;Aspecto de Alijo real de Atziri
Постоянные;Utility;Хранилище гильдии царской казны Атзири;Atziri's Royal Cache Guild Stash;裝飾物：阿茲里皇家寶匣公會倉庫;公会仓库：阿兹里的皇家秘藏;앗지리의 왕실 은닉함 길드 보관함;アッツィリの王家の財宝ギルドスタッシュ;Decoração de Baú de Guilda Estoque Real de Atziri;คลังเก็บของกิลด์หีบราชสมบัติอัถสิริ;Réserve de Guilde Cache royale d'Atziri;'Atziris Königlicher Schatz'-Gildentruhe;Aspecto de Alijo de hermandad real de Atziri
Постоянные;Utility;Тайник разбитого зеркала;Shattered Mirror Stash;破碎鏡像倉庫;破碎之镜仓库;산산조각 난 거울 보관함;割れた鏡スタッシュ;Baú Espelho Estilhaçado;คลังเก็บของกระจกแตกสลาย;Réserve Miroir brisé;'Zerbrochener Spiegel'-Truhe;Alijo de espejo roto
Постоянные;Utility;Хранилище гильдии разбитого зеркала;Shattered Mirror Guild Stash;破碎鏡像公會倉庫;破碎之镜公会仓库;산산조각 난 거울 길드 보관함;割れた鏡ギルドスタッシュ;Baú de Guilda Espelho Estilhaçado;คลังเก็บของกิลด์กระจกแตกสลาย;Réserve de Guilde Miroir brisé;'Zerbrochener Spiegel'-Gildentruhe;Alijo de hermandad de espejo roto
Постоянные;Utility;Тайник ваал;Vaal Cache Stash;瓦爾寶匣倉庫;瓦尔密藏仓库;바알 은닉함 보관함;ヴァールの財宝スタッシュ;Baú Estoque Vaal;คลังเก็บของหีบวาล์;Réserve Cache vaal;'Vaal-Lager'-Truhe;Alijo de tesoro vaal
Постоянные;Utility;Хранилище гильдии ваал;Vaal Cache Guild Stash;瓦爾寶匣公會倉庫;瓦尔密藏公会仓库;바알 은닉함 길드 보관함;ヴァールの財宝ギルドスタッシュ;Baú de Guilda Estoque Vaal;คลังเก็บของกิลด์หีบวาล์;Réserve de Guilde Cache vaal;'Vaal-Lager'-Gildentruhe;Alijo de hermandad de tesoro vaal
Постоянные;Utility;Тайник заражённого алтаря;Afflicted Altar Stash;密林祭壇倉庫;苦难祭坛仓库;고난에 시달리는 제단 보관함;苦難の祭壇スタッシュ;Baú Altar Afligido;คลังเก็บของแท่นโรคต้องสาป;Réserve Autel affligé;'Heimgesuchter Altar'-Truhe;Alijo de altar atribulado
Постоянные;Utility;Хранилище гильдии заражённого алтаря;Afflicted Altar Guild Stash;密林祭壇公會倉庫;苦难祭坛公会仓库;고난에 시달리는 제단 길드 보관함;苦難の祭壇ギルドスタッシュ;Baú de Guilda Altar Afligido;คลังเก็บของกิลด์แท่นโรคต้องสาป;Réserve de Guilde Autel affligé;'Heimgesuchter Altar'-Gildentruhe;Alijo de hermandad de altar atribulado
Постоянные;Utility;Колодец каруи;Karui Well Decoration;裝飾物：卡魯水井;装饰物：卡鲁之井;카루이 우물 장식물;カルイの井戸装飾品;"Decoração ""Poço Karui""";ของตกแต่ง บ่อน้ำ Karui;Décoration Puits karui;Karui-Brunnen;Decoración de Pozo karui
Постоянные;Utility;Расколотый колодец;Fractured Well Decoration;裝飾物：破裂水井;装饰物：破碎之井;분열된 우물 장식물;デリリウムの井戸装飾品;"Decoração ""Poço Rompido""";ของตกแต่ง บ่อน้ำแตกร้าว;Décoration Puits brisé;Brüchiger Brunnen;Decoración de Pozo fracturado
Постоянные;Utility;Машина картоходца путевых врат темницы;Prison Waygate Map Device;地圖裝置：牢獄廳廊;地图装置：监狱大门;감옥 경로관문 지도 장치;牢獄のウェイゲートマップデバイス;Dispositivo de Mapas da Passagem da Prisão;เครื่องเปิดแผนที่โถงข้ามทางเรือนจำ;Dispositif cartographique : Passerelle de prison;Gefängnispforte-Kartenapparat;Artefacto de mapas de pasadizos de prisión
Постоянные;Utility;Казначей изгнанника для убежища;Exile's Treasurer Hideout Decoration;裝飾物：流亡者的出納員;装饰物：流放者财政长;유배자의 회계원 은신처 장식물;エグザイルの金庫番隠れ家装飾品;Decoração de Refúgio: Tesoureiro do Exilado;ของตกแต่ง เหรัญญิกเอ็กไซล์;Décoration de Repaire : Trésorier de l'Exilé;Schatzmeister der Verbannten;Decoración de Tesorero del exiliado para guarida
Постоянные;Utility;Машина картоходца - подиум чемпиона;Champion's Podium Map Device;地圖裝置：冠軍領獎台;冠军领奖台地图装置;용사의 연단 지도 장치;覇者の演台マップデバイス;Dispositivo de Mapas Pódio do Campeão;เครื่องเปิดแผนที่แท่นฉลองวีรชน;Dispositif cartographique : Podium du Champion;'Podium des Champions'-Kartenapparat;Artefacto de mapas de Podio del campeón
Постоянные;Utility;Машина картоходца песочных часов пустыни;Desert Hourglass Map Device;裝飾物：荒漠沙漏地圖裝置;地图装置：荒漠沙漏;사막 모래시계 지도 장치;砂漠の砂時計マップデバイス;Dispositivo de Mapas Ampulheta do Deserto;เครื่องเปิดแผนที่นาฬิกาทรายทะเลทราย;Dispositif cartographique : Sablier du désert;'Wüsten-Sanduhr'-Kartenapparat;Decoración de Artefacto de mapas de Reloj de arena de Sanctum
Постоянные;Utility;Алая Машина картоходца песочных часов;Crimson Hourglass Map Device;裝飾物：腥紅沙漏地圖裝置;地图装置：绯红沙漏;진홍색 모래시계 지도 장치;深紅の砂時計マップデバイス;Dispositivo de Mapas Ampulheta Carmesim;เครื่องเปิดแผนที่นาฬิกาทรายแดง;Dispositif cartographique : Sablier pourpre;'Blutrote Sanduhr'-Kartenapparat;Artefacto de mapas de Reloj de arena carmesí
Постоянные;Utility;Машина картоходца песочных часов пустоши;Wasteland Hourglass Map Device;裝飾物：廢土沙漏地圖裝置;地图装置：废土沙漏;황무지 모래시계 지도 장치;荒野の砂時計マップデバイス;Dispositivo de Mapas Ampulheta da Desolação;เครื่องเปิดแผนที่นาฬิกาทรายแดนกันดาร;Dispositif cartographique : Sablier des terres désolées;'Ödland-Sanduhr'-Kartenapparat;Artefacto de mapas de Reloj de arena del páramo
Постоянные;Utility;Тайник Кракена (валюта);Kraken Stash Skin (Currency);裝飾物：海怪倉庫（通貨）;仓库通货页外观：北海巨兽;크라켄의 보관함 스킨 (화폐);クラーケンスタッシュスキン (カレンシー);Visual de Baú do Kraken (Moeda);สกินคลังเก็บของคราเคน (เงินตรา);Réserve du Kraken (Objets monétaires);Krakentruhe (Währung);Aspecto de alijo de kraken (objeto monetario)
Постоянные;Utility;Хранилище гильдии Кракена (валюта);Kraken Guild Stash Skin (Currency);裝飾物：海怪公會倉庫（通貨）;仓库通货页外观：北海巨兽（公会）;크라켄의 길드 보관함 스킨 (화폐);クラーケンギルドスタッシュスキン (カレンシー);Visual de Baú de Guilda do Kraken (Moeda);สกินคลังเก็บของกิลด์คราเคน (เงินตรา);Réserve de Guilde du Kraken (Objets monétaires);Kraken-Gildentruhe (Währung);Aspecto de alijo de hermandad de kraken (objeto monetario)
Постоянные;Utility;Тайник царской казны Атзири (уникальные предметы);Atziri's Royal Cache Stash (Unique);裝飾物：阿茲里皇家寶匣倉庫(傳奇);仓库传奇物品页外观：阿兹里的皇家秘藏;앗지리의 왕실 은닉함 보관함 (고유);アッツィリの王家の財宝スタッシュ (ユニーク);Baú Estoque Real de Atziri (Único);คลังเก็บของหีบราชสมบัติอัถสิริ (ไอเทมยูนิค);Réserve Cache royale d'Atziri (Uniques);'Atziris Königlicher Schatz'-Truhe (Einzigartiges);Aspecto de Alijo real de Atziri (únicos)
Постоянные;Utility;Хранилище гильдии царской казны Атзири (уникальные предметы);Atziri's Royal Cache Guild Stash (Unique);裝飾物：阿茲里皇家寶匣公會倉庫(傳奇);公会传奇物品仓库外观：阿兹里的皇家秘藏;앗지리의 왕실 은닉함 길드 보관함 (고유);アッツィリの王家の財宝ギルドスタッシュ (ユニーク);Baú de Guilda Estoque Real de Atziri (Único);คลังเก็บของกิลด์หีบราชสมบัติอัถสิริ (ไอเทมยูนิค);Réserve de Guilde Cache royale d'Atziri (Uniques);'Atziris Königlicher Schatz'-Gildentruhe (Einzigartiges);Aspecto de Alijo de hermandad real de Atziri (únicos)
Постоянные;Utility;Верстак для разборки Главного кузнеца;Forgemaster's Salvage Bench;裝飾物：冶煉師範工藝台;分解台：锻造大师;제련 장인의 분해 작업대;フォージマスターのサルベージベンチ;Bancada de Reciclagem do Mestre da Forja;โต๊ะรื้อผู้คุมโรงหลอม;Établi de recyclage du Maître de la forge;Schmiedemeister-Verwertungswerkbank;Mesa de reciclaje del Maestro de la forja
Постоянные;Utility;Машина картоходца Предтеч;Relic of the Precursors Map Device;地圖裝置：先行者的聖物;地图装置：先驱者遗物;선도자의 유물 지도 장치;先人の遺物マップデバイス;Dispositivo de Mapas Relíquia dos Precursores;เครื่องเปิดแผนที่โบราณวัตถุกลุ่มชนก่อนกาล;Dispositif cartographique : Relique des Prédécesseurs;'Relikt der Wegbereiter'-Kartenapparat;Artefacto de mapas de Reliquia de los precursores
Постоянные;Utility;Машина картоходца вечного заточения;Eternal Incarceration Map Device;地圖裝置：永世輪迴;地图装置：永恒禁锢;영원한 감독 지도 장치;永遠なる投獄者のマップデバイス;;;;;
Постоянные;NPCs;Альва;Alva;艾瓦;阿尔瓦;알바;アルヴァ;Alva;อัลวา;Alva;Alva;Alva
Постоянные;NPCs;Дэнниг;Dannig;丹尼格;丹宁;대닉;ダニグ;Dannig;แดนนิก;Dannig;Dannig;Dannig
Постоянные;NPCs;Гвеннен;Gwennen;關南;桂温妮;그위넨;グウェネン;Gwennen;เกว็นเน็น;Gwennen;Gwennen;Gwennen
Постоянные;NPCs;Туджин;Tujen;圖貞;图金;투젠;トゥージェン;Tujen;ทูเจน;Tujen;Tujen;Tujen
Постоянные;NPCs;Рог;Rog;羅格;罗格;로그;ログ;Rog;ร็อก;Rog;Rog;Rog
Постоянные;NPCs;Зелина;Zelina;澤莉娜;泽琳娜;젤리나;ゼリナ;Atalui, Sacerdote Sangrento;เซลิน่า;Zelina;Atalui, Blutpriesterin;Atalui, Sacerdotisa de sangre
Постоянные;NPCs;Золин;Zolin;佐林;佐林;졸린;ゾリン;Ketzuli, Arquiteto do Tempo;โซลิน;Ketzuli, Architecte du Temps;Ketzuli, Architekt der Zeit;Ketzuli, Arquitecto del tiempo
Постоянные;NPCs;Дориани;Doryani;多里亞尼;多里亚尼;도리아니;ドリヤニ;Doryani;ดอร์ยานี;Doryani;Doryani;Doryani
